TestNumber,NumClients,Duration(Sec),MessageSize(Bytes),MessagesSent,Throughput(MegaBits/Sec),LatencyDruation(Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),AverageLatency(MS)
1,2,10,256,6942020,1355.8633,1,142335,0,45,1,0.528954
2,2,10,512,4973600,1942.8125,1,113866,0,44,2,0.587975
3,2,10,1024,2802599,2189.5305,1,80592,0,45,4,0.6890998
4,2,10,2048,1484860,2320.0938,1,51164,0,4,4,0.8057114
5,2,10,8192,376810,2355.0625,1,15878,0,8,2,1.5541008
6,2,10,16384,181545,2269.3125,1,8227,0,8,6,2.0475557
7,2,10,32768,88769,2219.225,1,4232,1,11,12,2.9164364
8,2,10,65536,40973,2048.65,1,2075,1,23,12,4.0788474
9,2,10,131072,21381,2138.1,1,1081,2,36,19,6.731141
10,2,10,262144,10703,2140.6,1,539,3,46,34,11.563013
11,2,10,524288,5090,2036.0,1,284,6,134,66,17.921999
12,4,10,256,13176040,2573.4453,1,273683,0,45,3,0.56684786
13,4,10,512,9171077,3582.452,1,187385,0,216,2,0.73737854
14,4,10,1024,4826033,3770.3384,1,164136,0,45,4,0.6745547
15,4,10,2048,2429778,3796.528,1,101401,0,9,2,1.0481218
16,4,10,8192,612088,3825.55,1,31738,0,10,4,1.819946
17,4,10,16384,304046,3800.575,1,15118,0,211,6,2.1128242
18,4,10,32768,155482,3887.05,1,8013,0,18,10,2.8884468
19,4,10,65536,76806,3840.3,1,4052,1,36,12,4.642004
20,4,10,131072,38623,3862.3,1,1799,2,70,14,7.2059655
21,4,10,262144,19393,3878.6,1,861,3,65,40,12.310437
22,4,10,524288,9623,3849.2,1,502,6,82,72,19.937729
23,8,10,256,16951946,3310.927,1,493192,0,207,4,0.6460038
24,8,10,512,9114468,3560.339,1,376393,0,62,4,0.7710208
25,8,10,1024,4701120,3672.75,1,258596,0,53,4,1.0386916
26,8,10,2048,2383507,3724.2297,1,158442,0,48,18,5.5454597
27,8,10,8192,604804,3780.025,1,41182,0,52,41,15.550852
28,8,10,16384,297064,3713.3,1,26839,0,28,7,3.6232603
29,8,10,32768,151800,3795.0,1,10686,1,212,25,12.712357
30,8,10,65536,75429,3771.45,1,5749,1,213,28,14.335288
31,8,10,131072,37543,3754.3,1,3129,2,97,17,9.24925
32,8,10,262144,18934,3786.8,1,1412,3,144,52,14.751293
33,8,10,524288,9462,3784.8,1,703,6,250,39,23.867905
34,16,10,256,16770360,3275.461,1,677216,0,91,4,0.844577
35,16,10,512,8941863,3492.9153,1,555204,0,87,3,1.115063
36,16,10,1024,4670393,3648.7446,1,301178,0,207,19,9.653603
37,16,10,2048,2339079,3654.811,1,198661,0,40,18,6.217599
38,16,10,8192,596761,3729.7563,1,49946,0,63,24,12.690367
39,16,10,16384,295651,3695.6375,1,28644,0,229,32,12.460945
40,16,10,32768,150537,3763.425,1,12036,1,268,38,17.513264
41,16,10,65536,74652,3732.6,1,6677,1,243,35,16.551588
42,16,10,131072,37850,3785.0,1,2853,2,271,42,20.257818
43,16,10,262144,18655,3731.0,1,1683,4,247,72,23.38018
44,16,10,524288,9515,3806.0,1,666,8,345,107,53.127956
45,32,10,256,16771997,3275.7808,1,722635,0,105,4,1.7474445
46,32,10,512,8974101,3505.5083,1,535022,0,120,4,3.2904582
47,32,10,1024,4677873,3654.5884,1,299199,0,260,8,5.600849
48,32,10,2048,2352556,3675.8687,1,189851,0,242,30,13.241955
49,32,10,8192,600165,3751.0312,1,47318,0,260,52,19.872726
50,32,10,16384,298683,3733.5376,1,26142,0,242,48,21.905035
51,32,10,32768,152030,3800.75,1,10581,1,266,40,20.423452
52,32,10,65536,76496,3824.8,1,4832,1,267,59,26.341673
53,32,10,131072,39169,3916.9,1,1578,2,472,56,44.96985
54,32,10,262144,19586,3917.2,1,778,5,446,107,71.30795
55,32,10,524288,9535,3814.0,1,662,11,460,99,74.14543
56,64,15,256,24699055,3216.023,2,1033629,0,393,2,5.0035024
57,64,15,512,13552298,3529.2444,2,1059761,0,260,6,8.030047
58,64,15,1024,6877659,3582.114,2,771632,0,303,47,22.942627
59,64,15,2048,3562001,3710.4177,2,353079,0,285,53,23.449522
60,64,15,8192,927743,3865.596,2,59059,0,665,48,32.85238
61,64,15,16384,460429,3836.9084,2,39646,0,537,80,37.50876
62,64,15,32768,228149,3802.4834,2,22188,1,546,89,36.266647
63,64,15,65536,114120,3804.0,2,11055,2,709,90,39.619324
64,64,15,131072,58229,3881.9333,2,1994,3,1273,100,109.632835
65,64,15,262144,28970,3862.6667,2,2423,5,1493,150,110.406784
66,64,15,524288,14362,3829.8667,2,1322,13,731,252,133.62137
67,128,20,256,32753437,3198.5776,3,1614769,0,695,6,17.222572
68,128,20,512,17713773,3459.7212,3,1945694,0,1339,56,57.479576
69,128,20,1024,9366642,3658.8445,3,47205,0,3041,135,155.9363
70,128,20,2048,4775024,3730.4875,3,32179,0,1614,198,137.26256
71,128,20,8192,1215901,3799.6907,3,84245,0,1310,104,53.074593
72,128,20,16384,612079,3825.4937,3,24208,0,1627,74,75.45175
73,128,20,32768,305464,3818.3,3,23977,1,1804,93,70.79747
74,128,20,65536,152879,3821.975,3,7830,2,2090,179,113.29567
75,128,20,131072,76281,3814.05,3,6023,3,1923,169,135.02667
76,128,20,262144,38439,3843.9,3,934,4,2757,2083,1067.5953
78,256,25,256,39576129,3091.885,4,198817,0,3211,24,120.11042
79,256,25,512,22153501,3461.4844,4,1474957,0,1759,28,63.093655
80,256,25,1024,11616602,3630.1882,4,165858,0,3287,16,69.815636
81,256,25,2048,5911106,3694.4412,4,30923,0,3720,197,280.43143
82,256,25,8192,1508830,3772.075,4,41188,0,2388,110,177.48817
83,256,25,16384,744269,3721.345,4,4751,1,4253,624,526.62415
84,256,25,32768,377887,3778.87,4,7560,1,2862,603,311.46613
85,256,25,65536,189296,3785.92,4,2491,2,4254,980,1083.3817
86,256,25,131072,90436,3617.44,4,696,5,4896,3618,2159.0413
87,256,25,262144,40459,3236.72,4,442,1458,8072,9994,4872.5156
89,512,30,256,48677571,3169.1128,5,1115402,0,3474,42,163.1022
90,512,30,512,26534763,3455.0474,5,213897,0,4918,160,545.3694
91,512,30,1024,13813532,3597.274,5,1737528,0,2323,99,132.31865
92,512,30,2048,6960795,3625.414,5,52910,0,4184,100,206.17221
93,512,30,8192,1790866,3730.971,5,217452,0,3259,232,116.623955
94,512,30,16384,902954,3762.3083,5,24811,0,4332,204,176.36243
95,512,30,32768,452006,3766.7166,5,22851,1,3464,254,242.50728
96,512,30,65536,225624,3760.4,5,30313,2,2163,463,208.08708
97,512,30,131072,110358,3678.6,5,920,4,5617,1743,1530.7203
98,512,30,262144,37412,2494.1333,5,1028,774,15729,31532,8549.954
